Location,Number of Cows,Farm Size,Product Name,Brand,Price per Unit,Quantity (liters/kg),Total Value,Shelf Life (days),Storage Condition,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
Madhya Pradesh,25,Medium,Curd,Sudha,68.14,379.96,25890.4744,6,Refrigerated,139,71.59,9951.01,Telangana,Online,240,87.45,99.43
Tamil Nadu,90,Small,Ice Cream,Mother Dairy,97.09,753.06,73114.5954,28,Frozen,58,96.18,5578.44,Chandigarh,Retail,695,54.81,23.76
Gujarat,76,Large,Butter,Mother Dairy,50.87,509.7,25928.439,30,Refrigerated,74,48.99,3625.26,Jharkhand,Wholesale,435,41.44,92.42
Chandigarh,47,Large,Paneer,Amul,58.57,884.96,51832.1072,11,Refrigerated,728,59.05,42988.4,Gujarat,Retail,156,56.4,185.61
Telangana,45,Small,Buttermilk,Mother Dairy,89.95,271.56,24426.822,13,Refrigerated,73,94.26,6880.98,Delhi,Wholesale,198,53.71,190.92
Chandigarh,69,Small,Butter,Amul,72.36,818.21,59205.6756,29,Refrigerated,299,67.78,20266.22,Haryana,Online,519,33.37,154.27
Uttar Pradesh,47,Small,Paneer,Amul,55.63,549.06,30544.2078,13,Refrigerated,502,52.04,26124.08,Bihar,Wholesale,47,12.31,41.76
Madhya Pradesh,68,Small,Butter,Warana,96.21,913.81,87917.6601,33,Frozen,244,98.05,23924.2,Bihar,Wholesale,669,32.93,170.94
West Bengal,29,Medium,Curd,Mother Dairy,14.98,836.96,12537.6608,5,Refrigerated,80,17.36,1388.8,Maharashtra,Wholesale,756,17.28,124.65
Rajasthan,54,Medium,Cheese,Dynamix Dairies,12.22,811.97,9922.2734,46,Refrigerated,388,12.22,4741.36,Chandigarh,Retail,423,89.94,166.38
Uttar Pradesh,38,Medium,Milk,Sudha,62.03,502.46,31167.5938,2,Polythene Packet,251,64.34,16149.34,Jharkhand,Wholesale,251,72.61,32.41
Gujarat,63,Large,Milk,Mother Dairy,11.04,908.35,10028.184,29,Tetra Pack,199,14.65,2915.35,Delhi,Wholesale,709,82.72,149.14
Madhya Pradesh,15,Small,Lassi,Raj,74.3,628.72,46713.896,13,Refrigerated,302,74.6,22529.2,Uttar Pradesh,Online,326,97.54,192.15
Madhya Pradesh,82,Large,Ice Cream,Amul,21.87,673.22,14723.3214,30,Frozen,325,23.67,7692.75,Delhi,Online,348,18.96,148.94
Gujarat,86,Medium,Milk,Sudha,93.41,96.73,9035.5493,1,Polythene Packet,41,97.36,3991.76,Rajasthan,Retail,55,59.83,84.9
Bihar,14,Medium,Yogurt,Mother Dairy,46.94,312.43,14665.4642,24,Refrigerated,5,45.87,229.35,Uttar Pradesh,Online,307,92.79,82.66
Tamil Nadu,61,Large,Cheese,Dynamix Dairies,14.21,395.11,5614.5131,89,Frozen,322,10.72,3451.84,Uttar Pradesh,Wholesale,73,86.59,98.34
Karnataka,62,Large,Ghee,Sudha,13.6,109.52,1489.472,116,Ambient,42,8.84,371.28,Madhya Pradesh,Online,67,20.7,42.63
Madhya Pradesh,52,Medium,Ghee,Amul,28.84,706.76,20382.9584,118,Ambient,310,28.51,8838.1,Chandigarh,Retail,396,76.64,77.17
Maharashtra,18,Medium,Ice Cream,Mother Dairy,46.82,907.45,42486.809,25,Frozen,552,51.13,28223.76,Telangana,Retail,355,29.32,53.63
Delhi,74,Small,Butter,Warana,53.37,476.45,25428.1365,28,Refrigerated,302,54.16,16356.32,Kerala,Online,174,63.86,106.19
Tamil Nadu,18,Small,Lassi,Mother Dairy,91.29,921.67,84139.2543,14,Refrigerated,274,91.69,25123.06,Chandigarh,Retail,647,15.88,177.76
Kerala,62,Large,Ice Cream,Palle2patnam,44.67,250.94,11209.4898,22,Frozen,144,43.76,6301.44,Chandigarh,Wholesale,106,61.28,133.07
Chandigarh,13,Large,Buttermilk,Amul,92.26,181.24,16721.2024,11,Refrigerated,90,95.74,8616.6,Delhi,Retail,91,63.87,31.72
Tamil Nadu,26,Large,Paneer,Raj,42.34,939.68,39786.0512,11,Refrigerated,777,44.26,34390.02,Karnataka,Wholesale,162,86.68,63.48
Telangana,28,Small,Lassi,Sudha,31.17,162.9,5077.593,15,Refrigerated,92,28.74,2644.08,Kerala,Online,70,51.82,25.01
Jharkhand,84,Small,Buttermilk,Raj,16.94,661.21,11200.8974,7,Refrigerated,115,14.06,1616.9,Maharashtra,Wholesale,546,28.33,170.9
Rajasthan,66,Large,Ice Cream,Amul,14.71,239.74,3526.5754,25,Frozen,106,17.21,1824.26,Chandigarh,Online,133,32.6,24.4
Uttar Pradesh,33,Medium,Curd,Amul,46.39,1.58,73.2962,6,Refrigerated,1,48.12,48.12,Karnataka,Retail,0,85.53,173.2
Kerala,35,Large,Buttermilk,Raj,94.86,718.71,68176.8306,12,Refrigerated,131,90.14,11808.34,West Bengal,Retail,587,47.86,98.88
Tamil Nadu,37,Large,Milk,Mother Dairy,55.28,864.53,47791.2184,2,Polythene Packet,611,58.33,35639.63,Maharashtra,Online,253,64.99,34.11
Rajasthan,90,Medium,Ice Cream,Palle2patnam,46.3,170.53,7895.539,29,Frozen,96,50.75,4872,Jharkhand,Retail,74,86.5,21.95
Telangana,54,Small,Ghee,Sudha,44.8,437.14,19583.872,138,Ambient,49,46.58,2282.42,West Bengal,Retail,388,60.56,50.46
Maharashtra,94,Small,Yogurt,Mother Dairy,78.16,580.88,45401.5808,21,Refrigerated,190,76.33,14502.7,Bihar,Wholesale,390,87.82,194.6
Bihar,25,Large,Buttermilk,Amul,89.4,478.35,42764.49,10,Refrigerated,52,86.44,4494.88,Madhya Pradesh,Wholesale,426,15.36,86.12
Telangana,71,Small,Ghee,Mother Dairy,87.06,697.01,60681.6906,149,Ambient,312,87.34,27250.08,Tamil Nadu,Retail,385,95.46,32.82
Maharashtra,21,Medium,Ghee,Sudha,16.24,768.5,12480.44,70,Ambient,652,12.22,7967.44,Bihar,Wholesale,116,22.65,169.41
Chandigarh,61,Medium,Ice Cream,Dodla Dairy,55.09,609.29,33565.7861,23,Frozen,578,57.88,33454.64,Gujarat,Online,31,56.6,143
Haryana,50,Medium,Curd,Raj,78.91,82.1,6478.511,5,Refrigerated,68,74.7,5079.6,Telangana,Retail,14,11.32,172.14
Karnataka,65,Small,Cheese,Amul,92.99,879.54,81788.4246,34,Frozen,101,88.75,8963.75,Kerala,Wholesale,778,25.39,129.6
Telangana,56,Medium,Buttermilk,Raj,94.48,337.03,31842.5944,11,Refrigerated,247,95.21,23516.87,Delhi,Online,90,68.02,66.26
Chandigarh,69,Small,Cheese,Dynamix Dairies,87.57,235.09,20586.8313,26,Frozen,116,87.86,10191.76,Kerala,Online,119,58.64,103.93
Delhi,54,Small,Curd,Mother Dairy,62.76,200.02,12553.2552,6,Refrigerated,198,61.84,12244.32,Tamil Nadu,Retail,2,46.37,65.84
Telangana,82,Large,Buttermilk,Amul,51.08,803.57,41046.3556,12,Refrigerated,205,51.67,10592.35,Karnataka,Wholesale,598,79.57,20.04
Gujarat,93,Small,Paneer,Mother Dairy,17.08,377.18,6442.2344,13,Refrigerated,41,21.89,897.49,Haryana,Wholesale,336,72.82,25.6
West Bengal,43,Large,Paneer,Raj,53.67,740.8,39758.736,8,Refrigerated,619,50.19,31067.61,Maharashtra,Retail,121,92.14,175.28
Tamil Nadu,23,Large,Curd,Mother Dairy,58.51,678.68,39709.5668,5,Refrigerated,139,60.62,8426.18,Chandigarh,Wholesale,539,55.24,179.61
Gujarat,18,Medium,Ghee,Mother Dairy,24.14,959.51,23162.5714,139,Ambient,176,27.26,4797.76,Bihar,Wholesale,783,77.48,28.11
Chandigarh,56,Small,Curd,Amul,69.22,999.16,69161.8552,5,Refrigerated,756,64.33,48633.48,Tamil Nadu,Retail,243,67.64,70.05
Madhya Pradesh,46,Small,Buttermilk,Sudha,36.5,941.86,34377.89,7,Refrigerated,146,41.46,6053.16,Telangana,Wholesale,795,42.72,94.55
Karnataka,25,Medium,Lassi,Amul,21.86,30.51,666.9486,17,Refrigerated,15,17.19,257.85,Haryana,Retail,15,30.86,191.85
Gujarat,40,Medium,Yogurt,Amul,16.11,301.07,4850.2377,26,Frozen,226,18.92,4275.92,Chandigarh,Wholesale,75,13.22,136.19
Maharashtra,93,Medium,Buttermilk,Raj,59.12,791.47,46791.7064,14,Refrigerated,111,63.44,7041.84,Chandigarh,Wholesale,680,87.33,73.75
Kerala,26,Small,Cheese,Amul,29,3.23,93.67,84,Refrigerated,1,27.58,27.58,Delhi,Wholesale,2,83.75,101.68
Telangana,74,Large,Lassi,Raj,57.83,885.52,51209.6216,14,Refrigerated,766,54.52,41762.32,Telangana,Retail,119,43.11,184.39
Delhi,34,Large,Curd,Sudha,78.3,330.91,25910.253,5,Refrigerated,160,77.07,12331.2,Uttar Pradesh,Retail,170,89.61,44.21
Bihar,82,Large,Yogurt,Mother Dairy,64.5,394.31,25432.995,22,Refrigerated,159,62.58,9950.22,Bihar,Wholesale,235,77.47,188.03
Madhya Pradesh,94,Small,Cheese,Britannia Industries,54.68,608.88,33293.5584,72,Refrigerated,531,52.27,27755.37,Delhi,Wholesale,77,78.67,181.35
Jharkhand,98,Large,Yogurt,Dodla Dairy,97.56,443.55,43272.738,22,Refrigerated,223,99.25,22132.75,Kerala,Wholesale,220,23.21,35.16
Jharkhand,94,Large,Lassi,Amul,12.12,198.63,2407.3956,17,Refrigerated,55,8.79,483.45,Delhi,Wholesale,143,19.8,173.6
Delhi,97,Large,Butter,Warana,81.84,952.72,77970.6048,39,Frozen,786,84.13,66126.18,Jharkhand,Wholesale,166,48.97,182.15
Gujarat,67,Medium,Curd,Sudha,73.96,434.19,32112.6924,7,Refrigerated,163,78.69,12826.47,Gujarat,Retail,271,26.92,116.72
Uttar Pradesh,44,Large,Cheese,Amul,63.99,275.61,17636.2839,66,Refrigerated,210,63.07,13244.7,Gujarat,Wholesale,65,84.5,105.58
Chandigarh,95,Medium,Butter,Parag Milk Foods,92.08,12.5,1151,27,Refrigerated,10,92.69,926.9,Chandigarh,Online,2,81.74,69.29
Haryana,90,Small,Lassi,Sudha,63.55,979.36,62238.328,16,Refrigerated,282,59.29,16719.78,Telangana,Retail,697,16.67,151.22
Kerala,36,Small,Ice Cream,Dodla Dairy,64.62,322.41,20834.1342,30,Frozen,14,61.98,867.72,Rajasthan,Wholesale,308,92.48,149.61
Chandigarh,100,Medium,Curd,Amul,38.64,63.26,2444.3664,5,Refrigerated,3,43.26,129.78,Telangana,Retail,60,37.78,20.38
Kerala,42,Large,Butter,Mother Dairy,87.9,750.75,65990.925,40,Frozen,331,87.74,29041.94,Jharkhand,Retail,419,84.92,124.7
Bihar,72,Small,Curd,Amul,39.3,991.29,38957.697,5,Refrigerated,464,35.48,16462.72,Gujarat,Wholesale,527,15.79,78.58
Telangana,94,Small,Buttermilk,Mother Dairy,60.35,920.46,55549.761,10,Refrigerated,572,55.76,31894.72,Delhi,Online,348,89.48,142.89
Gujarat,98,Medium,Yogurt,Dodla Dairy,82.4,232.85,19186.84,24,Refrigerated,123,81,9963,West Bengal,Online,109,95.07,192.52
Chandigarh,79,Medium,Lassi,Raj,40.69,520.48,21178.3312,14,Refrigerated,230,45.34,10428.2,Madhya Pradesh,Online,290,33.57,40.3
Chandigarh,58,Medium,Curd,Raj,70.96,79.36,5631.3856,5,Refrigerated,20,69.12,1382.4,Kerala,Wholesale,59,95.02,71.66
Haryana,87,Large,Milk,Amul,35.16,125.31,4405.8996,28,Tetra Pack,115,33.08,3804.2,Jharkhand,Wholesale,10,68.79,143.09
Kerala,68,Small,Lassi,Raj,70.41,386.63,27222.6183,14,Refrigerated,217,75.2,16318.4,Rajasthan,Wholesale,169,25.66,44.34
Kerala,49,Small,Curd,Amul,15.04,85.73,1289.3792,7,Refrigerated,74,19.8,1465.2,Uttar Pradesh,Retail,11,63.94,78.48
Chandigarh,61,Small,Ice Cream,Dodla Dairy,40.47,485.54,19649.8038,24,Frozen,297,35.64,10585.08,Telangana,Wholesale,188,91.08,83.95
Madhya Pradesh,13,Medium,Butter,Parag Milk Foods,81.02,497.43,40301.7786,40,Refrigerated,175,76.45,13378.75,Uttar Pradesh,Retail,322,60.78,29.55
Telangana,21,Large,Curd,Sudha,93.12,735.54,68493.4848,5,Refrigerated,388,90.83,35242.04,Rajasthan,Retail,347,11.09,156.44
Jharkhand,94,Large,Cheese,Amul,81.77,611.18,49976.1886,55,Frozen,86,86.06,7401.16,Rajasthan,Wholesale,525,91.35,190.37
Kerala,74,Large,Paneer,Mother Dairy,16.13,677.95,10935.3335,12,Refrigerated,473,14.21,6721.33,Haryana,Online,204,43.2,32.12
Rajasthan,48,Small,Curd,Raj,61.5,936.12,57571.38,6,Refrigerated,157,59.44,9332.08,Gujarat,Retail,779,65.92,153.37
Haryana,68,Medium,Ice Cream,Dodla Dairy,72.17,552.22,39853.7174,25,Frozen,546,67.39,36794.94,Delhi,Online,6,42.19,136.22
Rajasthan,26,Medium,Lassi,Raj,60.13,828.56,49821.3128,17,Refrigerated,477,63.42,30251.34,Tamil Nadu,Wholesale,351,64.11,64.56
Chandigarh,58,Medium,Milk,Mother Dairy,17.25,474.75,8189.4375,25,Tetra Pack,227,17.22,3908.94,Delhi,Online,247,23.33,191.3
Uttar Pradesh,37,Medium,Ghee,Mother Dairy,65.37,393.46,25720.4802,115,Ambient,4,69.37,277.48,Delhi,Wholesale,389,84.18,128.32
Chandigarh,90,Large,Lassi,Mother Dairy,92.9,508.65,47253.585,13,Refrigerated,456,89.34,40739.04,West Bengal,Wholesale,52,82.56,71.02
Bihar,78,Large,Lassi,Raj,65.22,685.96,44738.3112,13,Refrigerated,639,65.68,41969.52,Telangana,Online,46,52.73,172.32
Madhya Pradesh,46,Medium,Curd,Amul,83.3,791.43,65926.119,7,Refrigerated,538,80.55,43335.9,Bihar,Wholesale,253,66.42,59.81
Bihar,52,Medium,Ghee,Amul,94.77,895.66,84881.6982,100,Ambient,408,97.51,39784.08,Kerala,Wholesale,487,51.07,77.36
Bihar,28,Small,Curd,Raj,48.25,759.06,36624.645,7,Refrigerated,125,49.08,6135,Delhi,Retail,634,63.35,118.3
Delhi,47,Large,Curd,Sudha,57.47,372.64,21415.6208,6,Refrigerated,46,53.01,2438.46,Maharashtra,Wholesale,326,58.39,181.38
Jharkhand,63,Small,Buttermilk,Mother Dairy,84.15,950.47,79982.0505,7,Refrigerated,945,88.82,83934.9,Tamil Nadu,Retail,5,81.01,94.86
Delhi,78,Large,Lassi,Amul,72.85,844.86,61548.051,12,Refrigerated,501,68.68,34408.68,Madhya Pradesh,Retail,343,97.48,25.58
Uttar Pradesh,64,Small,Lassi,Amul,44.37,386.56,17151.6672,14,Refrigerated,137,45.36,6214.32,Rajasthan,Wholesale,249,44.46,75.54
Uttar Pradesh,12,Small,Buttermilk,Amul,37.89,152.66,5784.2874,11,Refrigerated,6,34.52,207.12,Delhi,Wholesale,146,49.23,26.86
Tamil Nadu,73,Large,Lassi,Raj,62.25,344.29,21432.0525,18,Refrigerated,3,66.53,199.59,Maharashtra,Online,341,39.6,171.96
Gujarat,69,Medium,Yogurt,Mother Dairy,80.49,664.07,53450.9943,21,Refrigerated,224,79.08,17713.92,Haryana,Online,440,79,174.18
Telangana,93,Medium,Buttermilk,Raj,30.12,656.71,19780.1052,7,Refrigerated,480,30.26,14524.8,Chandigarh,Wholesale,176,51.75,145.81
Gujarat,74,Large,Cheese,Dynamix Dairies,33.12,859.17,28455.7104,28,Refrigerated,487,37.62,18320.94,Bihar,Online,372,67.26,66.62
Kerala,39,Small,Yogurt,Amul,77.18,145.07,11196.5026,29,Frozen,84,80.76,6783.84,Kerala,Wholesale,61,78.16,103.77
Tamil Nadu,13,Small,Cheese,Dynamix Dairies,30.57,339.9,10390.743,74,Refrigerated,224,33.09,7412.16,Jharkhand,Wholesale,115,49.64,118.39
Gujarat,36,Medium,Butter,Mother Dairy,23.29,495.39,11537.6331,27,Frozen,65,23.62,1535.3,Rajasthan,Online,430,57.18,115.59
West Bengal,61,Small,Curd,Mother Dairy,18.01,186.26,3354.5426,7,Refrigerated,52,14.94,776.88,Telangana,Retail,134,15.37,62.23
Maharashtra,52,Small,Curd,Amul,86.32,643.43,55540.8776,5,Refrigerated,437,87.95,38434.15,Chandigarh,Online,206,25.88,67.38
Karnataka,11,Medium,Cheese,Britannia Industries,29.68,432.39,12833.3352,73,Refrigerated,157,29.95,4702.15,Telangana,Wholesale,275,87.36,34.86
Chandigarh,100,Medium,Milk,Raj,82.01,760.19,62343.1819,22,Tetra Pack,710,80.72,57311.2,Chandigarh,Wholesale,50,31.44,94.86
Rajasthan,44,Small,Curd,Amul,17.02,432.3,7357.746,7,Refrigerated,403,16.33,6580.99,Haryana,Wholesale,29,84.19,172.21
Jharkhand,85,Large,Cheese,Britannia Industries,25.37,89.44,2269.0928,29,Frozen,79,24.31,1920.49,Bihar,Wholesale,10,96.18,20.12
Chandigarh,73,Medium,Ice Cream,Dodla Dairy,50.38,442.01,22268.4638,21,Frozen,435,54.26,23603.1,Uttar Pradesh,Retail,7,20.32,84.27
Haryana,15,Medium,Yogurt,Dodla Dairy,88.11,668.32,58885.6752,21,Refrigerated,105,89.29,9375.45,Madhya Pradesh,Online,563,41.99,73.73
Karnataka,38,Medium,Cheese,Dynamix Dairies,22.53,166.24,3745.3872,37,Frozen,62,20.59,1276.58,Delhi,Retail,104,60.58,197.18
Karnataka,73,Small,Curd,Raj,89.7,884.74,79361.178,5,Refrigerated,107,86.63,9269.41,Madhya Pradesh,Retail,777,45.72,128.46
Bihar,23,Large,Lassi,Amul,27.55,219.7,6052.735,13,Refrigerated,67,29.34,1965.78,Karnataka,Online,152,95.05,110.15
Karnataka,82,Medium,Curd,Mother Dairy,15.37,544.97,8376.1889,6,Refrigerated,509,11.51,5858.59,Gujarat,Retail,35,76.37,106.13
Karnataka,36,Large,Cheese,Britannia Industries,84.83,493.42,41856.8186,45,Refrigerated,330,82.77,27314.1,Haryana,Online,163,39.86,92.29
Delhi,86,Large,Yogurt,Dodla Dairy,61.44,433.13,26611.5072,30,Frozen,413,59.56,24598.28,Delhi,Wholesale,20,83.76,30.38
Tamil Nadu,39,Medium,Ghee,Amul,53.22,792.04,42152.3688,63,Ambient,423,54.15,22905.45,Jharkhand,Retail,369,21.84,146.23
Maharashtra,54,Medium,Curd,Amul,58.93,228.65,13474.3445,6,Refrigerated,224,54.54,12216.96,Jharkhand,Retail,4,40.6,35.96
Tamil Nadu,33,Medium,Lassi,Amul,27.75,448.15,12436.1625,14,Refrigerated,348,27.34,9514.32,Tamil Nadu,Retail,100,75.04,110.45
Gujarat,29,Large,Lassi,Raj,87.54,741.27,64890.7758,12,Refrigerated,49,85.17,4173.33,Delhi,Wholesale,692,61.27,43.16
Telangana,30,Medium,Ice Cream,Dodla Dairy,81.07,758.84,61519.1588,29,Frozen,654,79.92,52267.68,Bihar,Retail,104,13.09,45.74
Bihar,52,Large,Yogurt,Palle2patnam,98.8,973.05,96137.34,22,Refrigerated,592,100.68,59602.56,Karnataka,Wholesale,381,76.99,56.7
Tamil Nadu,88,Small,Ice Cream,Amul,32.56,987.59,32155.9304,30,Frozen,795,31.61,25129.95,Gujarat,Wholesale,192,38.28,92.47
Madhya Pradesh,79,Medium,Cheese,Amul,16.98,361.12,6131.8176,44,Refrigerated,233,21.16,4930.28,Madhya Pradesh,Online,128,24.73,109.36
Tamil Nadu,13,Small,Milk,Amul,37.8,304.49,11509.722,1,Polythene Packet,244,37.3,9101.2,West Bengal,Online,60,39.03,80.54
Bihar,15,Medium,Ice Cream,Amul,81.89,371.28,30404.1192,23,Frozen,267,81.56,21776.52,Telangana,Wholesale,104,26.48,20.85
Telangana,39,Medium,Paneer,Raj,46.87,69.78,3270.5886,14,Refrigerated,45,50.2,2259,Maharashtra,Wholesale,24,88.23,34.27
West Bengal,89,Medium,Lassi,Raj,29.93,459.11,13741.1623,15,Refrigerated,21,34.29,720.09,Chandigarh,Wholesale,438,36.79,74.91
Chandigarh,20,Medium,Milk,Sudha,61.47,475.94,29256.0318,2,Polythene Packet,100,58.19,5819,Jharkhand,Retail,375,27.3,198.96
Madhya Pradesh,30,Small,Milk,Amul,39.24,630.73,24749.8452,1,Polythene Packet,8,34.81,278.48,Chandigarh,Retail,622,15.45,161.53
Uttar Pradesh,29,Medium,Paneer,Mother Dairy,43.11,53.11,2289.5721,13,Refrigerated,42,39.03,1639.26,Jharkhand,Retail,11,92.94,129.36
West Bengal,82,Medium,Curd,Mother Dairy,65.58,86.18,5651.6844,5,Refrigerated,53,69.46,3681.38,Kerala,Online,33,52.04,174.72
Tamil Nadu,46,Small,Lassi,Amul,84.47,266.74,22531.5278,18,Refrigerated,218,87.33,19037.94,Chandigarh,Retail,48,78.71,186.2
West Bengal,29,Medium,Paneer,Sudha,12.35,279.54,3452.319,10,Refrigerated,201,12.08,2428.08,Kerala,Retail,78,28.69,122.62
Telangana,30,Large,Paneer,Sudha,15.88,885.61,14063.4868,12,Refrigerated,194,18.5,3589,Uttar Pradesh,Online,691,32.76,70.74
Delhi,15,Large,Cheese,Dynamix Dairies,82.63,704.15,58183.9145,74,Frozen,149,79.99,11918.51,Madhya Pradesh,Retail,555,70.09,79.74
Chandigarh,82,Large,Butter,Amul,63.3,677.86,42908.538,37,Refrigerated,307,63.18,19396.26,Haryana,Retail,370,96.26,159.89
Delhi,34,Medium,Lassi,Amul,12.67,474.05,6006.2135,13,Refrigerated,220,8.46,1861.2,Delhi,Wholesale,254,83.49,98.3
Maharashtra,80,Large,Yogurt,Palle2patnam,93.96,995.82,93567.2472,29,Frozen,718,94.62,67937.16,Rajasthan,Online,277,39.83,190.19
Uttar Pradesh,95,Medium,Milk,Sudha,33.11,61.57,2038.5827,1,Polythene Packet,13,35.68,463.84,Kerala,Wholesale,48,44.86,159.52
Chandigarh,83,Medium,Buttermilk,Sudha,57.69,803.03,46326.8007,7,Refrigerated,6,59.52,357.12,Gujarat,Wholesale,797,75.54,151.71
Telangana,46,Medium,Ghee,Raj,87.57,739.84,64787.7888,96,Ambient,316,86.66,27384.56,Uttar Pradesh,Wholesale,423,22.71,170.85
Delhi,88,Medium,Ghee,Amul,89.19,55.99,4993.7481,66,Ambient,29,92.23,2674.67,Uttar Pradesh,Wholesale,26,91.57,72.57
Delhi,84,Medium,Paneer,Raj,92.7,239.11,22165.497,12,Refrigerated,206,89.37,18410.22,Uttar Pradesh,Wholesale,33,95.05,59.75
Delhi,37,Small,Milk,Sudha,53.37,212.56,11344.3272,2,Polythene Packet,165,54.98,9071.7,Uttar Pradesh,Wholesale,47,53.6,101.92
Bihar,46,Small,Butter,Mother Dairy,36.68,726.76,26657.5568,37,Refrigerated,304,32.36,9837.44,Maharashtra,Retail,422,59.57,156.3
Gujarat,78,Small,Milk,Raj,99.25,372.37,36957.7225,28,Tetra Pack,80,96.49,7719.2,Chandigarh,Wholesale,292,47.01,114.99
Bihar,88,Small,Curd,Amul,70.7,82.33,5820.731,6,Refrigerated,2,67.49,134.98,Karnataka,Wholesale,80,34.84,106.78
Maharashtra,93,Small,Milk,Mother Dairy,85.72,700.61,60056.2892,1,Polythene Packet,255,87.59,22335.45,Chandigarh,Wholesale,445,94.79,166.99
Delhi,56,Medium,Ghee,Mother Dairy,83.36,810.39,67554.1104,143,Ambient,282,82.9,23377.8,Uttar Pradesh,Wholesale,528,26.97,39.42
Telangana,86,Large,Yogurt,Amul,45.74,763.13,34905.5662,25,Refrigerated,136,44.69,6077.84,Kerala,Online,627,41.87,90.91
West Bengal,37,Medium,Buttermilk,Mother Dairy,55.34,954.98,52848.5932,11,Refrigerated,461,52.85,24363.85,Gujarat,Wholesale,493,92.39,176.94
Rajasthan,79,Large,Buttermilk,Mother Dairy,67.82,133.63,9062.7866,10,Refrigerated,101,65.42,6607.42,Chandigarh,Wholesale,32,20.68,150.01
Rajasthan,94,Small,Milk,Sudha,26.99,45.51,1228.3149,1,Polythene Packet,8,30.59,244.72,Karnataka,Retail,37,18.04,107.99
Maharashtra,16,Small,Curd,Sudha,45.23,819.81,37080.0063,5,Refrigerated,7,40.39,282.73,Delhi,Wholesale,812,63.26,62.05
Telangana,38,Large,Milk,Mother Dairy,19.14,275.72,5277.2808,22,Tetra Pack,41,17.74,727.34,Chandigarh,Online,234,97.28,127.07
West Bengal,21,Small,Buttermilk,Amul,93.37,369.94,34541.2978,13,Refrigerated,145,91.51,13268.95,Chandigarh,Wholesale,224,17.16,97.17
Karnataka,67,Large,Curd,Sudha,54.8,391.2,21437.76,7,Refrigerated,81,52.84,4280.04,Delhi,Online,310,59.09,133.88
Rajasthan,87,Large,Paneer,Sudha,87.46,240.66,21048.1236,7,Refrigerated,239,86.95,20781.05,Rajasthan,Retail,1,25.07,178.8
Uttar Pradesh,94,Small,Cheese,Amul,84.46,657.01,55491.0646,64,Refrigerated,42,80.15,3366.3,Madhya Pradesh,Online,615,59.6,73.68
Rajasthan,20,Medium,Curd,Mother Dairy,84.79,410.77,34829.1883,7,Refrigerated,292,83.76,24457.92,Kerala,Online,118,27.5,191.47
Uttar Pradesh,82,Medium,Butter,Parag Milk Foods,56.53,514.72,29097.1216,30,Refrigerated,173,56.79,9824.67,Tamil Nadu,Online,341,53.01,187.95
Telangana,95,Medium,Ghee,Mother Dairy,79.42,564.08,44799.2336,63,Ambient,427,77.21,32968.67,Kerala,Retail,137,27.65,33.44
Gujarat,92,Medium,Cheese,Passion Cheese,31.8,992.52,31562.136,28,Frozen,120,33.42,4010.4,Maharashtra,Online,872,96.63,82.54
Telangana,48,Medium,Lassi,Amul,32.16,417.65,13431.624,16,Refrigerated,166,31.02,5149.32,Chandigarh,Retail,251,96.36,196.62
Telangana,80,Medium,Yogurt,Dodla Dairy,48.43,186.63,9038.4909,25,Frozen,82,44.83,3676.06,Madhya Pradesh,Online,104,88.55,185.51
Haryana,57,Large,Lassi,Mother Dairy,15.14,804.16,12174.9824,18,Refrigerated,792,12.64,10010.88,Karnataka,Wholesale,12,34.98,108.42
Gujarat,39,Large,Yogurt,Amul,31.92,330.65,10554.348,28,Frozen,180,33.13,5963.4,Chandigarh,Wholesale,150,45.63,41.63
West Bengal,35,Large,Ice Cream,Mother Dairy,73.83,561.73,41472.5259,24,Frozen,473,75,35475,Tamil Nadu,Retail,88,68.18,74.53
Bihar,24,Large,Buttermilk,Amul,60.5,376.54,22780.67,14,Refrigerated,287,64.42,18488.54,Rajasthan,Online,89,97.93,192.93
Karnataka,59,Medium,Cheese,Dynamix Dairies,22.7,71.44,1621.688,87,Refrigerated,39,24.1,939.9,Maharashtra,Online,32,94.95,109.13
Gujarat,42,Small,Cheese,Amul,11.34,297.88,3377.9592,83,Refrigerated,282,12.71,3584.22,Chandigarh,Retail,15,95.68,144.96
Rajasthan,76,Large,Ghee,Sudha,98.99,630.64,62427.0536,86,Ambient,29,100.41,2911.89,Rajasthan,Wholesale,601,90.34,182.77
Karnataka,90,Large,Paneer,Sudha,34.94,272.21,9511.0174,13,Refrigerated,82,34.85,2857.7,Rajasthan,Retail,190,75.57,161.14
Chandigarh,35,Medium,Curd,Mother Dairy,88.75,832.92,73921.65,7,Refrigerated,359,85.71,30769.89,Chandigarh,Online,473,63.3,184.13
Jharkhand,37,Small,Lassi,Mother Dairy,57.97,80.94,4692.0918,15,Refrigerated,57,60.35,3439.95,Gujarat,Retail,23,55.1,48.65
Maharashtra,77,Medium,Ghee,Mother Dairy,38.23,322.23,12318.8529,79,Ambient,86,42.22,3630.92,Delhi,Wholesale,236,73.63,65.66
